order_id,customer_id,product_id,order_date,quantity,total_amount
1,287,67,9/20/2023,1,289.2
2,1619,76,1/15/2024,2,471.62
3,1412,80,11/3/2023,4,1111.24
4,1484,93,4/26/2023,1,43.3
5,161,30,11/21/2024,6,2726.7
6,1026,1,2/20/2023,10,1001
7,1527,88,7/21/2023,8,3286.56
8,1996,64,10/26/2024,3,463.92
9,709,36,4/8/2024,6,2255.82
10,110,50,7/13/2024,4,953.36
11,201,14,12/23/2022,4,687.32
12,896,95,2/22/2024,3,351.51
13,476,15,2/24/2024,5,243.7
14,1718,96,7/15/2024,10,2334.4
15,156,32,3/4/2024,8,3643.28
16,698,94,12/31/2023,1,84
17,1240,74,10/14/2024,8,2916.32
18,1575,78,10/28/2023,4,730.28
19,1258,97,11/26/2024,1,39.62
20,1956,82,1/6/2023,7,3120.53
21,1220,62,6/24/2024,9,2665.62
22,813,74,7/19/2024,7,2551.78
23,1985,77,5/3/2023,9,3321.54
24,1585,17,8/11/2023,9,1726.47
25,669,60,2/19/2024,8,143.6
26,61,14,6/1/2023,9,1546.47
27,1299,82,1/12/2024,7,3120.53
28,560,43,12/3/2024,2,335.18
29,1605,90,2/4/2024,10,131.3
30,923,51,2/11/2024,3,1210.14
31,1005,7,4/8/2024,1,236.88
32,468,29,5/9/2024,3,337.08
33,729,28,2/8/2023,3,349.02
34,1133,67,1/27/2023,9,2602.8
35,1928,87,8/2/2023,6,278.52
36,769,63,9/20/2024,5,1814.05
37,885,96,9/27/2023,1,233.44
38,381,70,8/28/2023,5,2361.5
39,1393,67,5/15/2024,1,289.2
40,1200,87,5/8/2023,3,139.26
41,1354,46,9/7/2024,7,2295.09
42,779,19,10/11/2024,2,832.82
43,176,66,8/14/2024,7,858.97
44,1582,47,8/2/2024,7,1127.91
45,1267,94,7/6/2023,9,756
46,605,83,5/7/2023,5,2476.3
47,1635,72,10/10/2024,6,2304.3
48,505,79,10/22/2023,1,78.58
49,1461,66,6/25/2024,2,245.42
50,151,51,11/14/2023,6,2420.28
51,169,66,7/4/2023,7,858.97
52,549,84,11/20/2024,3,1437.15
53,316,14,8/27/2023,3,515.49
54,779,70,9/21/2023,6,2833.8
55,1458,99,6/22/2023,9,4208.49
56,1606,99,7/25/2024,5,2338.05
57,1299,34,10/3/2023,9,927.99
58,316,100,11/1/2024,2,914.5
59,1515,31,1/15/2024,10,1585.6
60,798,74,4/21/2023,1,364.54
61,649,60,2/6/2023,7,125.65
62,739,51,12/12/2023,1,403.38
63,219,90,9/20/2024,5,65.65
64,188,32,2/20/2024,6,2732.46
65,11,7,4/13/2024,10,2368.8
66,1932,92,7/15/2023,9,2871.36
67,632,73,8/18/2023,3,748.26
68,911,2,12/11/2023,8,2188.64
69,738,83,2/6/2024,9,4457.34
70,1560,1,4/15/2023,2,200.2
71,553,61,2/4/2024,5,1405.6
72,210,31,10/22/2024,8,1268.48
73,272,64,3/19/2024,1,154.64
74,179,76,10/29/2023,6,1414.86
75,384,37,3/29/2023,7,2657.34
76,883,79,9/8/2023,5,392.9
77,920,75,3/29/2023,10,3724
78,1141,79,1/2/2023,8,628.64
79,1137,94,4/14/2023,2,168
80,1050,84,5/3/2024,8,3832.4
81,836,39,9/5/2024,3,1052.58
82,212,36,11/19/2024,10,3759.7
83,54,41,5/18/2024,2,408.7
84,184,60,5/10/2023,3,53.85
85,725,88,4/13/2023,7,2875.74
86,1136,83,6/22/2024,10,4952.6
87,191,85,3/3/2024,9,2400.57
88,1223,33,11/26/2024,2,227.58
89,1225,40,5/10/2023,6,2129.1
90,1607,36,2/21/2024,4,1503.88
91,665,15,8/20/2023,4,194.96
92,1769,6,1/27/2023,5,403.65
93,789,58,5/6/2024,6,2600.4
94,26,52,11/2/2023,4,1455.92
95,598,75,4/3/2023,4,1489.6
96,848,22,8/15/2023,9,2757.96
97,795,96,12/7/2022,5,1167.2
98,1596,55,9/28/2024,4,438.12
99,174,18,6/7/2024,1,272.46
100,1485,50,8/18/2023,10,2383.4
101,1846,82,4/24/2023,3,1337.37
102,1146,99,7/24/2023,7,3273.27
103,1854,44,7/25/2024,10,1487
104,498,37,3/17/2023,8,3036.96
105,1172,84,6/9/2024,9,4311.45
106,1068,30,3/19/2023,9,4090.05
107,348,39,12/15/2023,4,1403.44
108,1404,99,7/7/2023,4,1870.44
109,780,58,7/12/2024,2,866.8
110,348,46,2/1/2024,1,327.87
111,285,73,3/11/2024,3,748.26
112,551,14,10/20/2024,1,171.83
113,617,89,1/2/2023,9,303.93
114,550,51,11/3/2023,6,2420.28
115,1010,4,3/28/2024,3,361.26
116,299,94,8/15/2023,1,84
117,130,34,10/6/2023,6,618.66
118,343,32,9/28/2024,7,3187.87
119,891,44,4/25/2023,5,743.5
120,566,75,8/16/2023,6,2234.4
121,863,84,1/6/2024,10,4790.5
122,614,66,8/6/2023,9,1104.39
123,992,27,7/8/2023,1,339.01
124,1603,79,1/2/2024,4,314.32
125,158,67,4/20/2024,5,1446
126,740,43,1/6/2023,5,837.95
127,516,81,6/2/2024,1,100.18
128,1934,82,4/30/2024,6,2674.74
129,506,91,11/15/2024,9,696.33
130,1477,73,12/30/2022,6,1496.52
131,1281,95,10/29/2024,7,820.19
132,1016,7,7/17/2023,6,1421.28
133,1217,60,2/6/2023,10,179.5
134,1263,78,10/21/2023,6,1095.42
135,401,91,10/31/2024,2,154.74
136,938,74,11/14/2024,10,3645.4
137,220,55,11/24/2023,8,876.24
138,278,47,10/22/2023,5,805.65
139,624,65,3/16/2024,4,424.52
140,14,41,10/26/2024,10,2043.5
141,1944,58,4/12/2024,6,2600.4
142,811,65,5/8/2023,1,106.13
143,681,97,10/16/2024,5,198.1
144,1724,29,10/17/2024,5,561.8
145,1271,87,11/4/2024,5,232.1
146,779,64,3/31/2024,10,1546.4
147,1647,43,4/28/2024,3,502.77
148,1766,54,9/24/2023,1,166.91
149,675,86,8/29/2024,10,4211.4
150,902,71,1/29/2023,6,1052.46
151,686,10,11/1/2024,5,1070.45
152,882,49,10/13/2024,6,2655.48
153,1671,62,10/2/2023,6,1777.08
154,1687,68,6/3/2023,5,652.05
155,1761,40,10/7/2023,10,3548.5
156,1334,28,8/1/2023,2,232.68
157,1996,40,8/28/2023,3,1064.55
158,1218,87,7/6/2024,9,417.78
159,279,5,8/23/2024,4,1720.8
160,616,63,12/15/2023,2,725.62
161,657,89,2/17/2023,2,67.54
162,1236,27,9/9/2024,8,2712.08
163,1941,8,7/18/2024,10,382.4
164,1424,57,1/30/2023,5,162
165,412,84,12/25/2023,10,4790.5
166,982,86,11/23/2023,5,2105.7
167,644,13,1/28/2024,5,674.75
168,364,88,8/2/2024,3,1232.46
169,1976,60,7/21/2024,3,53.85
170,816,60,6/18/2024,9,161.55
171,1984,50,11/19/2023,4,953.36
172,654,13,1/1/2023,3,404.85
173,597,88,3/14/2024,10,4108.2
174,1506,82,11/17/2023,10,4457.9
175,1424,25,5/6/2023,6,2425.68
176,1297,41,12/16/2022,9,1839.15
177,1006,85,4/6/2023,8,2133.84
178,1982,4,12/13/2022,5,602.1
179,1180,83,8/5/2023,3,1485.78
180,1602,81,5/2/2024,8,801.44
181,497,1,2/21/2023,10,1001
182,668,63,10/28/2024,7,2539.67
