payment_id,order_id,payment_date,amount,method
1,1,6/12/2024,289.2,Credit Card
2,2,9/15/2024,471.62,PayPal
3,3,9/18/2024,1111.24,Bank Transfer
4,4,12/21/2023,43.3,Bank Transfer
5,5,11/24/2024,2726.7,Bank Transfer
6,6,10/4/2023,1001,PayPal
7,7,9/17/2023,3286.56,PayPal
8,8,10/30/2024,463.92,Bank Transfer
9,9,9/24/2024,2255.82,Bank Transfer
10,10,11/11/2024,953.36,PayPal
11,11,1/15/2023,687.32,PayPal
12,12,7/9/2024,351.51,Bank Transfer
13,13,6/20/2024,243.7,Bank Transfer
14,14,8/29/2024,2334.4,Bank Transfer
15,15,3/7/2024,3643.28,Credit Card
16,16,9/19/2024,84,Credit Card
17,17,11/12/2024,2916.32,Credit Card
18,18,9/27/2024,730.28,Credit Card
19,19,11/30/2024,39.62,Credit Card
20,20,5/15/2024,3120.53,Bank Transfer
21,21,10/22/2024,2665.62,Bank Transfer
22,22,7/30/2024,2551.78,PayPal
23,23,7/18/2023,3321.54,PayPal
24,24,11/18/2023,1726.47,Credit Card
25,25,9/28/2024,143.6,PayPal
26,26,11/21/2024,1546.47,Bank Transfer
27,27,3/11/2024,3120.53,Bank Transfer
28,28,12/5/2024,335.18,PayPal
29,29,3/3/2024,131.3,PayPal
30,30,10/18/2024,1210.14,PayPal
31,31,5/19/2024,236.88,PayPal
32,32,12/4/2024,337.08,PayPal
33,33,9/20/2024,349.02,Bank Transfer
34,34,2/27/2024,2602.8,PayPal
35,35,5/22/2024,278.52,PayPal
36,36,11/12/2024,1814.05,PayPal
37,37,10/9/2023,233.44,Credit Card
38,38,10/20/2023,2361.5,Bank Transfer
39,39,7/14/2024,289.2,Credit Card
40,40,7/5/2024,139.26,PayPal
41,41,9/15/2024,2295.09,PayPal
42,42,11/7/2024,832.82,PayPal
43,43,8/27/2024,858.97,Bank Transfer
44,44,10/18/2024,1127.91,PayPal
45,45,9/16/2024,756,Credit Card
46,46,10/31/2024,2476.3,Bank Transfer
47,47,12/2/2024,2304.3,Bank Transfer
48,48,1/25/2024,78.58,Bank Transfer
49,49,11/11/2024,245.42,Credit Card
50,50,3/28/2024,2420.28,PayPal
51,51,6/27/2024,858.97,Bank Transfer
52,52,11/28/2024,1437.15,PayPal
53,53,1/14/2024,515.49,PayPal
54,54,4/27/2024,2833.8,Credit Card
55,55,2/18/2024,4208.49,Bank Transfer
56,56,11/26/2024,2338.05,PayPal
57,57,2/26/2024,927.99,PayPal
58,58,11/7/2024,914.5,Bank Transfer
59,59,1/28/2024,1585.6,PayPal
60,60,5/6/2024,364.54,PayPal
61,61,5/16/2023,125.65,Bank Transfer
62,62,9/26/2024,403.38,Bank Transfer
63,63,10/24/2024,65.65,PayPal
64,64,5/27/2024,2732.46,PayPal
65,65,7/18/2024,2368.8,Bank Transfer
66,66,4/16/2024,2871.36,PayPal
67,67,11/25/2024,748.26,Credit Card
68,68,1/24/2024,2188.64,Bank Transfer
69,69,5/31/2024,4457.34,Bank Transfer
70,70,6/11/2024,200.2,Credit Card
71,71,9/11/2024,1405.6,PayPal
72,72,11/7/2024,1268.48,PayPal
73,73,3/31/2024,154.64,Credit Card
74,74,6/29/2024,1414.86,Credit Card
75,75,6/27/2023,2657.34,PayPal
76,76,1/6/2024,392.9,PayPal
77,77,5/8/2023,3724,Bank Transfer
78,78,9/29/2023,628.64,PayPal
